,genre,artist,track,date_entered,date_peaked
0,Rock,Destiny's Child,Independent Women Part I,2000-09-23,2000-11-18
1,Rock,Santana,"Maria, Maria",2000-02-12,2000-04-08
2,Rock,Savage Garden,I Knew I Loved You,1999-10-23,2000-01-29
3,Rock,Madonna,Music,2000-08-12,2000-09-16
4,Rock,"Aguilera, Christina",Come On Over Baby (All I Want Is You),2000-08-05,2000-10-14
5,Rock,Janet,Doesn't Really Matter,2000-06-17,2000-08-26
6,Rock,Destiny's Child,Say My Name,1999-12-25,2000-03-18
7,Latin,"Iglesias, Enrique",Be With You,2000-04-01,2000-06-24
8,Rock,Sisqo,Incomplete,2000-06-24,2000-08-12
9,Country,Lonestar,Amazed,1999-06-05,2000-03-04
10,Rock,N'Sync,It's Gonna Be Me,2000-05-06,2000-07-29
11,Rock,"Aguilera, Christina",What A Girl Wants,1999-11-27,2000-01-15
12,Rock,Vertical Horizon,Everything You Want,2000-01-22,2000-07-15
13,Rock,Creed,With Arms Wide Open,2000-05-13,2000-11-11
14,Rock,Aaliyah,Try Again,2000-03-18,2000-06-17
15,Rock,matchbox twenty,Bent,2000-04-29,2000-07-22
16,Rock,"Carey, Mariah",Thank God I Found You,1999-12-11,2000-02-19
17,Rap,"Hill, Faith",Breathe,1999-11-06,2000-04-22
18,Rock,Mya,Case Of The Ex (Whatcha Gonna Do),2000-08-19,2000-12-02
19,Rock,Dream,He Loves U Not,2000-09-30,2000-12-30
20,Rock,"Braxton, Toni",He Wasn't Man Enough,2000-03-18,2000-05-06
21,Latin,"Anthony, Marc",You Sang To Me,2000-02-26,2000-06-03
22,Rock,98¡,Give Me Just One Night (Una Noche),2000-08-19,2000-09-30
23,Rock,Destiny's Child,Jumpin' Jumpin',2000-05-13,2000-08-19
24,Rock,3 Doors Down,Kryptonite,2000-04-08,2000-11-11
25,Rock,Sisqo,Thong Song,2000-01-29,2000-05-20
26,Rock,"Aguilera, Christina",I Turn To You,2000-04-15,2000-07-01
27,Rock,"Houston, Whitney",My Love Is Your Love,1999-09-04,2000-01-08
28,Rock,Joe,I Wanna Know,2000-01-01,2000-07-01
29,Rap,"Jordan, Montell",Get It On.. Tonite,1999-10-23,2000-02-12
30,Rock,N'Sync,Bye Bye Bye,2000-01-29,2000-04-15
31,Rap,Eminem,The Real Slim Shady,2000-05-06,2000-06-24
32,Rock,Pink,Most Girls,2000-08-12,2000-11-25
