,genre,artist,track,time_to_peak
46,Rock,Creed,Higher,315 days 00:00:00.000000000
9,Country,Lonestar,Amazed,273 days 00:00:00.000000000
24,Rock,3 Doors Down,Kryptonite,217 days 00:00:00.000000000
157,Rock,Amber,Sexual (Li Da Di),210 days 00:00:00.000000000
28,Rock,Joe,I Wanna Know,182 days 00:00:00.000000000
13,Rock,Creed,With Arms Wide Open,182 days 00:00:00.000000000
12,Rock,Vertical Horizon,Everything You Want,175 days 00:00:00.000000000
17,Rap,"Hill, Faith",Breathe,168 days 00:00:00.000000000
47,Rap,Nelly,(Hot S**t) Country Grammar,140 days 00:00:00.000000000
103,Latin,Son By Four,A Puro Dolor (Purest Of Pain),133 days 00:00:00.000000000
199,Rock,Papa Roach,Last Resort,126 days 00:00:00.000000000
27,Rock,"Houston, Whitney",My Love Is Your Love,126 days 00:00:00.000000000
41,Rock,"Dion, Celine",That's The Way It Is,112 days 00:00:00.000000000
29,Rap,"Jordan, Montell",Get It On.. Tonite,112 days 00:00:00.000000000
25,Rock,Sisqo,Thong Song,112 days 00:00:00.000000000
32,Rock,Pink,Most Girls,105 days 00:00:00.000000000
48,Rock,Next,Wifey,105 days 00:00:00.000000000
18,Rock,Mya,Case Of The Ex (Whatcha Gonna Do),105 days 00:00:00.000000000
108,Country,"Tritt, Travis",Best Of Intentions,105 days 00:00:00.000000000
65,Rock,Red Hot Chili Peppers,Otherside,105 days 00:00:00.000000000
78,Rock,Train,Meet Virginia,105 days 00:00:00.000000000
70,Rock,Sting,Desert Rose,105 days 00:00:00.000000000
177,Country,"Heatherly, Eric",Flowers On The Wall,105 days 00:00:00.000000000
160,Country,"Raye, Collin",Couldn't Last A Moment,98 days 00:00:00.000000000
2,Rock,Savage Garden,I Knew I Loved You,98 days 00:00:00.000000000
73,Rock,Foo Fighters,Learn To Fly,98 days 00:00:00.000000000
146,Country,Rascal Flatts,Prayin' For Daylight,98 days 00:00:00.000000000
21,Latin,"Anthony, Marc",You Sang To Me,98 days 00:00:00.000000000
23,Rock,Destiny's Child,Jumpin' Jumpin',98 days 00:00:00.000000000
126,Country,"McEntire, Reba",What Do You Say,91 days 00:00:00.000000000
143,Country,"Griggs, Andy",She's More,91 days 00:00:00.000000000
14,Rock,Aaliyah,Try Again,91 days 00:00:00.000000000
19,Rock,Dream,He Loves U Not,91 days 00:00:00.000000000
56,Rock,Smash Mouth,Then The Morning Comes,91 days 00:00:00.000000000
62,Rock,BBMak,Back Here,91 days 00:00:00.000000000
194,Country,Brooks & Dunn,You'll Always Be Loved By Me,91 days 00:00:00.000000000
