Description,Salary,,
JT-Senior_min,"120,000",,
JT-Research_min,"27,996",,
JT-Senior_mean,"141,500",,
JT-Analyst_max,"250,000",,
JT-Data_Scientist_max,"225,000",,
JT-Data_Scientist_min,"75,000",,
JT-VP_min,"122,500",,
JT-Scientist_min,"27,996",,
JT-Scientist_max,"225,000",,
JT-VP_mean,"190,500",,
JT-VP_max,"300,000",,
JT-Python_mean,"136,785.714286",,
JT-Scientist_mean,"86,510.434185",,
JT-Senior_max,"175,000",,
JT-Manager_max,"225,000",,
JT-Manager_mean,"83,185.0835443",,
JT-Research_mean,"40,515.3878788",,
JT-Data_mean,"130,361.773055",,
JT-Manager_min,"82,329",,
JT-Data_max,"300,000",,
JT-Research_max,"200,000",,
JT-Python_max,"185,000",,
JT-Analyst_min,"35,000",,
JT-Data_Scientist_mean,"137,568.793578",,
JT-Data_min,"30,000",,
JT-Analyst_mean,"89,922.4302326",,
JT-Python_min,"120,000",,
