,0,1
0,JD-Engineer_mean,161529.411765
1,JD-Year3_mean,140625.0
2,JD-Year5_max,160000.0
3,JD-Year2_min,76941.5
4,JD-Database_min,53875.0
5,JD-Team_min,55000.0
6,JD-Machine_Learning_max,200000.0
7,JD-Team_max,250000.0
8,JD-Machine_Learning_mean,123610.888889
9,JD-Year4_max,150000.0
10,JD-Team_mean,125129.803087
11,JD-Experience_max,215000.0
12,JD-Database_max,162500.0
13,JD-Experience_mean,135865.431122
14,JD-Data_Scientist_min,85000.0
15,JD-Year2_max,150000.0
16,JD-Data_min,36870.0
17,JD-Data_mean,130349.170213
18,JD-Year1_mean,73503.6145833
19,JD-VP_max,175000.0
20,JD-SQL_max,180000.0
21,JD-Engineer_min,41000.0
22,JD-Experience_min,27996.0
23,JD-Engineer_max,300000.0
24,JD-Year4_min,150000.0
25,JD-Year3_min,65000.0
26,JD-Year5_mean,115000.0
27,JD-Data_max,300000.0
28,JD-Machine_Learning_min,65000.0
29,JD-Data_Scientist_max,225000.0
30,JD-Year2_mean,109083.277778
31,JD-VP_mean,126111.111111
32,JD-Year1_max,150000.0
33,JD-Year5_min,100000.0
34,JD-Database_mean,93393.2777778
35,JD-SQL_min,64055.5
36,JD-SQL_mean,101411.428571
37,JD-VP_min,65000.0
38,JD-Data_Scientist_mean,138085.748792
39,JD-Year1_min,59394.0
40,JD-Year3_max,160000.0
41,JD-Year4_mean,150000.0
