title,location,summary_review,review_score,movie_score,genre
Raptor Ranch,United States,really not good ,2,3.1,Action
Raptor Ranch,United Kingdom,you 're better off stay well clear from this ranch ,1,3.1,Action
Raptor Ranch,Denmark,so messy it should be raptor ranch dressing ... ,2,3.1,Action
Raptor Ranch,"Hamburg, Germany",of reptile and man ,3.1,3.1,Action
Raptor Ranch,United States,a lot better then people say ,7,3.1,Action
Raptor Ranch,pee hole,what a f*ck be this ,7,3.1,Action
Raptor Ranch,"Omaha, NE",diversity in different way ,2,3.1,Action
Raptor Ranch,Bangladesh,not worth watch ,1,3.1,Action
Gunday,United Kingdom,waste of time and money ,1,2,Action
Gunday,"Dhaka, bangladesh",it ' a real pain irrelevant story in the name of history ,1,2,Action
Gunday,Dhaka; Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,"Chittagong, Bangladesh",better start sell pinup magazine on the street - i mean it ,1,2,Action
Gunday,Bangladesh,to yashraj film authority ,1,2,Action
Gunday,"Dhaka, Bangladesh",worst movie and historically appropriate ,1,2,Action
Gunday,UNKNOWN,a big protest as a bangladeshi ,1,2,Action
Gunday,Pakistan,wake up bollywood plzzzzz ,2,2,Action
Gunday,Bangladesh,this movie change the main history ,1,2,Action
Gunday,Bangladesh,this film have start disaster in bangladesh ,2,2,Action
Gunday,Dhaka,it   be bangladesh 's liberation war against pakistan ,1,2,Action
Gunday,"Dhaka, Bangladesh",history distortion ,1,2,Action
Gunday,UNKNOWN,misrepresentation of the history of 1971 liberation war ,1,2,Action
Gunday,UNKNOWN,bollywood masala action film its not base on fact ,1,2,Action
Gunday,"Dhaka, Bangladesh",illiterate and uneducated producer ,1,2,Action
Gunday,London,poor script reflect stupidity of ignorant director and writer ,1,2,Action
Gunday,Bangladesh,worst movie in the world history ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",protest : misinterpret the history of bangladesh liberation war in 1971 ,2,2,Action
Gunday,"Dhaka, Bangadesh",i strongly protest this movie ,2,2,Action
Gunday,Bangladesh,gunday : manipulating bangladesh 's liberation war history ,1,2,Action
Gunday,United States,disappoint ,1,2,Action
Gunday,Bangladesh,be we sucker for entertainment only ,1,2,Action
Gunday,"Chittagong, Bangladesh",rubbish ,1,2,Action
Gunday,UNKNOWN,wrong history ,1,2,Action
Gunday,"Comilla, Bangladesh",nothing but a bunch of lie in this movie ,1,2,Action
Gunday,Dhaka,humiliate the liberation war of bangladesh 1971 ,1,2,Action
Gunday,"Sylhet, Bangladesh",humilation of bangladesh liberation war ,1,2,Action
Gunday,"Dhaka, Bangladesh",gunday : an extreme manipulation of bangladesh 's liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",a famous producer like aditya chopra should not have make this type of movie with fake history this be lame ... ,1,2,Action
Gunday,london,false statement against historical truth ,1,2,Action
Gunday,"London, England",* * * * * writer need to do more research before make a film * * * * * ,1,2,Action
Gunday,Dhaka,disgust movie :/ yuck ,2,2,Action
Gunday,"Dhaka, Bangladesh",most disrespectful offensive and humiliating to the history of bangladesh ,1,2,Action
Gunday,United Arab Emirates,history of bangladesh liberation war be wrongly plot ,1,2,Action
Gunday,Dhaka,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,a fake starting and history ,1,2,Action
Gunday,"Hartford, United States",shame on the whole team of this movie ,1,2,Action
Gunday,Canada,flase information and an awful movie ,2,2,Action
Gunday,Bangladesh,critic ,2,2,Action
Gunday,"Dhaka, Bangladesh",this movie 's story line contempt our liberation war ,1,2,Action
Gunday,bangladesh,this film have start disaster in bangladesh ,1,2,Action
Gunday,LONDON,appal plot poor fact find and bad possible act ,1,2,Action
Gunday,UNKNOWN,poor screenplay : writer must read history properly ,1,2,Action
Gunday,"Dhaka, Bangladesh",historically fraudulent laughable ... & offensive ,1,2,Action
Gunday,UNKNOWN,""" gunday "" humiliate history of bangladesh ",1,2,Action
Gunday,Bangladesh,please do not watch the movie have false information about bangladesh liberation war ,1,2,Action
Gunday,london,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,"Dhaka, Bangladesh",bad movie ,1,2,Action
Gunday,"Dhaka, Bangladesh",abusive that ' all i can say ,1,2,Action
Gunday,Bangladesh,this movie change the history of the war of 1971 ,1,2,Action
Gunday,"Dhaka, Bangladesh",fake information ,1,2,Action
