,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
0,SJU,ASO,330.0,289.0,55.0,28.0,60371.0,56735.0,0.8019,0.7794,0.7984,11.19,13.84,2.27,12.43,1.88,0.79,3.39,12.28,0.994906142593,0.994533799341,0.998582480829,0.996007474254
1,SJU,ASO,315.0,282.0,64.0,36.0,57736.0,54870.0,0.7789,0.7464,0.7604,12.74,14.14,3.03,14.43,1.63,1.36,4.04,14.65,0.994860579552,0.994544131911,0.998223895707,0.99587620239
2,SJU,ASO,257.0,233.0,63.0,44.0,55707.0,52948.0,0.8054,0.7446,0.7611,11.61,15.75,4.28,14.34,1.73,1.29,4.19,14.17,0.99559945607,0.995386576193,0.998030463393,0.996338831886
3,SJU,ASO,307.0,278.0,70.0,42.0,47987.0,47246.0,0.8014,0.7522,0.7414,12.53,15.22,3.16,14.97,1.55,1.71,4.09,16.31,0.994115903992,0.993602433993,0.997647874161,0.995122070715
4,SJU,ASO,238.0,197.0,78.0,29.0,44493.0,43448.0,0.8004,0.781,0.7533,12.54,14.22,1.85,13.59,1.64,1.25,3.75,15.18,0.995465844228,0.994650843953,0.997566550301,0.995894412827
5,SJU,ASO,199.0,159.0,57.0,58.0,48418.0,46678.0,0.8168,0.8015,0.7999,11.44,13.29,1.43,12.28,1.22,0.95,2.88,11.77,0.996593684391,0.99588995828,0.997581391436,0.996688344702
6,SJU,ASO,258.0,207.0,82.0,45.0,47314.0,45781.0,0.7967,0.7815,0.7719,12.21,13.04,1.39,13.0,1.65,1.32,3.53,13.4,0.995478473603,0.994547068521,0.997271604275,0.995765715466
7,SJU,ASO,240.0,201.0,101.0,55.0,42803.0,42401.0,0.8179,0.7934,0.7899,10.86,13.23,1.96,12.07,1.45,1.57,3.67,12.28,0.995259545765,0.994392916384,0.996338200085,0.995330220745
8,SJU,ASO,174.0,141.0,62.0,41.0,44716.0,43985.0,0.8417,0.8228,0.8181,9.55,13.15,1.82,10.55,1.41,1.33,2.89,10.64,0.996794361714,0.996108775382,0.997677591008,0.996860242702
9,SJU,ASO,127.0,94.0,65.0,64.0,42902.0,42175.0,0.8058,0.7808,0.784,12.31,13.56,2.2,13.52,1.78,1.41,2.86,12.96,0.997771191464,0.997039765046,0.996967453013,0.997259469841
10,SJU,ASO,280.0,241.0,72.0,31.0,43671.0,42965.0,0.8056,0.7784,0.7815,11.71,12.89,1.88,13.13,1.81,1.0,2.93,12.79,0.994390783196,0.993588422523,0.99762223556,0.995200480426
11,OGG,AWP,63.0,45.0,33.0,16.0,8355.0,8424.0,0.8645,0.8773,0.847,8.23,7.85,0.46,7.71,4.59,0.54,3.37,9.78,0.994658119658,0.992459605027,0.994159365874,0.993759030186
12,OGG,AWP,42.0,24.0,16.0,16.0,35626.0,36108.0,0.8639,0.8669,0.8337,7.89,8.28,0.76,7.78,3.52,1.26,4.21,9.85,0.999335327351,0.998821085724,0.999107814983,0.999088076019
13,OGG,AWP,292.0,257.0,22.0,18.0,37108.0,37218.0,0.882,0.8807,0.8596,6.69,7.75,1.05,6.89,2.9,0.82,3.7,8.01,0.993094739105,0.992131076857,0.99892366063,0.994716492197
14,OGG,AWP,223.0,190.0,10.0,16.0,37476.0,35402.0,0.8871,0.8836,0.8719,7.57,7.52,1.04,7.9,2.63,0.62,3.15,7.89,0.994633071578,0.994049525029,0.999286478773,0.995989691793
15,OGG,AWP,287.0,258.0,24.0,22.0,32036.0,29420.0,0.8755,0.8593,0.8606,9.61,7.79,1.56,10.54,1.86,0.93,3.52,8.6,0.991230455472,0.991041328505,0.998502994012,0.993591592663
16,OGG,AWP,106.0,80.0,20.0,18.0,30677.0,30193.0,0.8957,0.8853,0.8749,6.28,8.01,1.28,6.9,1.51,0.68,3.64,7.12,0.997350379227,0.996544642566,0.99875143749,0.997548819761
17,OGG,AWP,116.0,80.0,19.0,27.0,27206.0,27084.0,0.9029,0.8901,0.8718,5.81,8.47,1.56,6.54,1.43,0.75,3.94,7.15,0.997046226554,0.995736234654,0.998305396942,0.99702928605
18,OGG,AWP,139.0,106.0,23.0,27.0,27142.0,27090.0,0.9097,0.8974,0.8803,6.12,8.61,1.46,6.85,1.24,0.62,3.18,7.25,0.996087117017,0.994878785646,0.998156070217,0.99637399096
19,OGG,AWP,125.0,91.0,48.0,37.0,31181.0,31051.0,0.9,0.8883,0.8747,6.47,8.59,1.51,7.21,0.95,0.9,3.51,7.48,0.997069337541,0.995991148456,0.997268286412,0.99677625747
20,OGG,AWP,210.0,168.0,40.0,39.0,30069.0,29737.0,0.8871,0.8743,0.8589,7.26,8.64,1.53,8.0,1.01,1.01,3.48,8.36,0.994350472475,0.993016063055,0.997358124603,0.994908220044
21,OGG,AWP,114.0,85.0,34.0,35.0,34163.0,33547.0,0.9007,0.8881,0.8784,5.8,8.58,1.39,6.44,1.71,0.87,3.85,7.18,0.997466241393,0.996663056523,0.997961896323,0.997363731413
22,HNL,AWP,96.0,89.0,33.0,41.0,92661.0,91206.0,0.8673,0.8664,0.836,11.26,14.96,1.17,11.37,3.51,0.86,4.15,10.69,0.999024187005,0.998963965422,0.99919507035,0.999061074259
23,HNL,AWP,92.0,81.0,26.0,49.0,97359.0,95239.0,0.8672,0.8734,0.8282,10.75,12.79,0.8,10.5,2.73,1.65,3.68,10.19,0.99914950808,0.999055043704,0.999221175713,0.999141909166
24,HNL,AWP,608.0,568.0,20.0,53.0,101458.0,100974.0,0.8861,0.879,0.8495,7.2,12.37,1.63,7.75,2.59,0.87,3.47,8.55,0.99437478955,0.994007372509,0.999278770155,0.995886977405
